sample	seqname	count
P13625_1079_S79	seq_000000461	1
P13625_1079_S79	seq_000000462	1
P13625_1079_S79	seq_000000463	1
P13625_1079_S79	seq_000000464	2
P13625_1080_S80	seq_000000465	1
P13625_1080_S80	seq_000000466	1
P13625_1075_S75	seq_000000467	26
P13625_1077_S77	seq_000000467	144
P13625_1078_S78	seq_000000467	121
P13625_1079_S79	seq_000000467	448
P13625_1080_S80	seq_000000467	360
P13625_1077_S77	seq_000000468	60
P13625_1078_S78	seq_000000468	40
P13625_1079_S79	seq_000000468	211
P13625_1080_S80	seq_000000468	169
P13625_1079_S79	seq_000000469	1
P13625_1078_S78	seq_000000470	1
P13625_1078_S78	seq_000000471	1
P13625_1078_S78	seq_000000472	1
P13625_1077_S77	seq_000000473	75
P13625_1078_S78	seq_000000473	57
P13625_1079_S79	seq_000000473	149
P13625_1080_S80	seq_000000473	123
P13625_1077_S77	seq_000000474	2
P13625_1078_S78	seq_000000474	4
P13625_1079_S79	seq_000000474	84
P13625_1080_S80	seq_000000474	75
P13625_1077_S77	seq_000000475	6
P13625_1078_S78	seq_000000475	3
P13625_1079_S79	seq_000000475	16
P13625_1080_S80	seq_000000475	19
P13625_1078_S78	seq_000000476	1
P13625_1077_S77	seq_000000477	1
P13625_1077_S77	seq_000000478	1
P13625_1078_S78	seq_000000479	2
P13625_1078_S78	seq_000000480	1
P13625_1079_S79	seq_000000481	1
P13625_1078_S78	seq_000000482	1
P13625_1077_S77	seq_000000483	1
P13625_1078_S78	seq_000000484	1
P13625_1077_S77	seq_000000485	1
P13625_1077_S77	seq_000000486	1
P13625_1077_S77	seq_000000487	1
P13625_1077_S77	seq_000000488	4
P13625_1077_S77	seq_000000489	2
P13625_1075_S75	seq_000000490	219
P13625_1077_S77	seq_000000490	5707
P13625_1078_S78	seq_000000490	3592
P13625_1079_S79	seq_000000490	1737
